trackId,InitialFrame,TotalFrame,Distance,minVel                  ,maxVel,meanVel,VehicleClass,LaneChangeNum,RampVehicle
6630,24205,120,92.20,17.81,20.19,19.37,car,0,False
6651,24344,157,147.12,21.44,25.16,23.57,car,0,False
6666,24355,218,178.50,18.84,27.81,20.58,car,0,False
6669,24416,282,176.95,13.69,17.91,15.74,car,0,False
6683,24395,110,85.48,18.69,20.44,19.60,car,0,False
6684,24397,242,135.81,12.62,18.91,14.10,car,0,False
6704,24456,139,109.91,18.81,20.44,19.91,car,0,False
6707,24480,232,166.00,17.03,19.75,17.97,car,0,False
6723,24531,243,163.43,13.12,20.19,16.87,car,0,False
6731,24571,160,103.45,14.44,17.94,16.26,car,0,False
6741,24610,174,124.82,17.16,19.06,18.03,car,0,False
6747,24580,167,114.68,15.31,18.28,17.26,car,0,False
6751,24615,344,168.26,7.56,14.56,12.26,car,1,True
6759,24620,128,82.71,15.00,19.84,16.30,car,0,False
6760,24737,119,85.94,17.00,19.44,18.20,car,0,False
6827,24789,220,165.93,16.69,24.09,18.96,car,0,False
6829,24793,188,113.12,11.22,18.19,15.12,car,0,False
6846,24826,108,77.42,17.31,18.56,18.09,truck,0,False
6857,24909,210,160.42,15.00,20.25,19.18,car,0,False
6878,24913,182,109.38,14.31,16.25,15.11,car,0,False
6884,24947,270,174.88,9.69,20.19,16.24,car,1,True
6885,24950,191,122.22,15.50,16.50,16.08,car,0,False
6895,25021,198,143.64,14.25,19.88,18.21,bus,0,False
6914,25147,120,86.12,17.28,18.94,18.09,bus,0,False
6917,25151,190,120.58,14.03,17.16,15.94,truck,0,False
6924,25237,155,133.55,20.06,23.09,21.69,car,0,False
6942,25343,248,163.96,11.88,19.44,16.59,car,0,False
6970,25399,175,142.77,18.53,21.75,20.51,bus,0,False
6977,25587,180,133.46,14.88,21.13,18.63,car,0,False
6986,25447,188,169.53,19.81,26.38,22.68,car,0,False
6995,25525,193,171.73,20.91,27.19,22.37,car,0,False
7028,25672,175,83.81,9.66,13.72,12.03,bus,1,True
7030,25759,217,164.39,17.50,19.94,19.03,car,0,False
7034,25745,188,158.11,16.06,22.94,21.13,car,0,False
7084,25911,170,154.53,21.53,25.00,22.86,car,0,False
7108,25943,196,167.47,20.41,23.37,21.48,car,0,False
7114,25962,173,147.60,20.53,23.03,21.46,car,0,False
7123,26017,199,153.41,17.94,20.66,19.37,car,0,False
7138,26071,177,155.53,20.06,23.00,22.09,car,0,False
7152,26159,172,153.64,21.75,24.00,22.47,car,0,False
7208,26356,161,115.97,17.19,19.00,18.12,car,0,False
7228,26424,151,115.16,18.19,20.41,19.20,car,0,False
7257,26506,175,145.80,19.94,22.38,20.95,car,0,False
7258,26505,140,117.36,20.31,23.50,21.11,car,0,False
7262,26509,211,159.14,14.94,21.12,18.94,car,1,True
7263,26496,124,100.86,18.56,23.19,20.50,car,0,False
7266,26500,130,96.32,17.19,19.25,18.66,car,0,False
7285,26533,211,172.56,19.25,21.94,20.54,car,0,False
7309,26609,188,148.93,18.94,20.88,19.91,car,0,False
7316,26790,219,166.90,17.81,20.88,19.14,car,0,False
7318,26683,259,174.22,14.75,18.63,16.88,car,1,True
7343,26810,184,157.21,20.31,22.56,21.47,car,0,False
7352,26817,248,164.34,13.00,19.22,16.63,car,1,True
7376,26928,137,114.11,19.69,21.94,20.98,car,0,False
7379,26904,129,104.46,18.69,21.69,20.41,car,0,False
7391,26956,162,133.74,18.44,22.00,20.76,car,0,False
7402,27019,143,119.39,19.25,21.94,21.02,car,0,False
7424,27241,139,109.44,18.75,21.25,19.83,car,0,False
7431,27149,115,105.11,21.91,24.00,23.05,car,0,False
